league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ESP-La Liga,2324,Alaves,Abdelkabir Abqar,4,2023,158,9297,D,27,2318,0,507.450.656.965.375,0,507.450.656.965.375,0,17.039.154.656.231.400,10,3,9,0,24.509.469.643.235.200,23.596.736.155.450.300
ESP-La Liga,2324,Alaves,Abderrahmane Rebbach,4,2023,158,11825,M S,23,681,1,11.461.342.638.358.400,1,11.461.342.638.358.400,0,17.387.915.328.145.000,17,18,1,0,28.438.005.410.134.700,5.110.004.432.499.400
ESP-La Liga,2324,Alaves,Aleksander Sedlar,4,2023,158,7845,D,11,958,1,22.453.153.226.524.500,1,22.453.153.226.524.500,0,6.848.599.016.666.410,4,2,2,0,3.772.087.436.169.380,3.703.601.475.805.040
ESP-La Liga,2324,Alaves,Alex Sola,4,2023,158,7424,D F M S,31,1265,0,2.303.257.567.808.030,0,2.303.257.567.808.030,3,26.484.938.506.036.900,28,27,2,0,5.903.971.094.638.100,19.674.826.990.813.000
ESP-La Liga,2324,Alaves,Ander Guevara,4,2023,158,6126,M S,37,2951,1,5.625.613.089.650.860,1,5.625.613.089.650.860,0,994.552.617.892.623,16,21,7,0,8.876.669.323.071.830,804.570.441.506.803
ESP-La Liga,2324,Alaves,Andoni Gorosabel,4,2023,158,6325,D M S,36,2884,1,6.708.051.897.585.390,1,6.708.051.897.585.390,0,19.685.864.513.739.900,15,15,7,0,8.044.700.527.563.690,6.260.708.058.252.930
ESP-La Liga,2324,Alaves,Antonio Blanco,4,2023,158,9280,M S,33,2457,0,6.555.717.512.965.200,0,6.555.717.512.965.200,1,14.791.271.854.192.000,20,20,4,1,6.338.301.086.332.640,4.706.147.252.582.010
ESP-La Liga,2324,Alaves,Antonio Sivera,4,2023,158,6075,GK,34,3060,0,0.0,0,0.0,0,902.358.191.087.842,0,3,3,0,23.123.537.227.511.400,2.232.304.647.564.880
ESP-La Liga,2324,Alaves,Carlos Benavídez,4,2023,158,11826,M S,29,1084,3,10.416.047.144.681.200,3,10.416.047.144.681.200,1,4.492.913.717.404.000,14,6,5,0,4.363.672.302.104.530,36.337.609.300.389.800
ESP-La Liga,2324,Alaves,Carlos Vicente,4,2023,158,12294,M S,18,1125,2,2.099.360.242.486,2,2.099.360.242.486,4,4.537.976.810.708.640,15,33,1,0,5.820.134.531.706.570,6.914.112.120.866.770
ESP-La Liga,2324,Alaves,Eneko Ortiz,4,2023,158,9506,S,1,12,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ESP-La Liga,2324,Alaves,Giuliano Simeone,4,2023,158,9796,M S,14,617,1,27.372.554.913.163.100,1,1.993.977.852.165.690,2,22.005.359.139.293.400,15,11,1,0,6.374.225.340.783.590,2.682.699.700.817.460
ESP-La Liga,2324,Alaves,Ianis Hagi,4,2023,158,1428,M S,22,786,0,23.040.251.582.860.900,0,15.607.475.563.883.700,2,2.245.730.670.168.990,27,24,3,0,4.481.196.455.657.480,24.056.243.412.196.600
ESP-La Liga,2324,Alaves,Javier López,4,2023,158,8413,D S,32,2377,1,8.477.662.242.949.000,1,8.477.662.242.949.000,3,27.234.498.150.646.600,18,14,3,0,9.449.958.447.366.950,6.395.732.913.166.280
ESP-La Liga,2324,Alaves,Jesús Owono,4,2023,158,10010,GK,4,360,0,0.0,0,0.0,0,0.0,0,0,1,0,13.290.287.256.240.800,13.290.287.256.240.800
ESP-La Liga,2324,Alaves,Joaquín Panichelli,4,2023,158,12413,F M S,8,212,0,41.757.106.967.270.300,0,41.757.106.967.270.300,0,8.918.350.096.791.980,9,2,0,0,6.536.963.675.171.130,14.694.180.339.574.800
ESP-La Liga,2324,Alaves,Jon Guridi,4,2023,158,5179,F M S,36,2758,3,4.945.392.818.190.150,3,4.945.392.818.190.150,4,4.210.919.074.714.180,36,32,2,0,15.953.632.154.501.900,9.553.089.398.890.730
ESP-La Liga,2324,Alaves,Jon Karrikaburu,4,2023,158,9922,S,2,5,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ESP-La Liga,2324,Alaves,Kike García,4,2023,158,5074,F S,33,1422,3,10.353.893.613.442.700,3,9.610.615.974.292.150,2,18.036.036.575.213.000,57,18,3,0,11.454.374.939.203.200,19.085.751.418.024.300
ESP-La Liga,2324,Alaves,Luis Rioja,4,2023,158,7870,F M S,37,2576,5,5.841.826.934.367.410,2,286.871.649.697.423,4,5.503.333.631.902.930,57,41,4,0,11.749.913.413.077.500,745.725.760.422.647
ESP-La Liga,2324,Alaves,Mamadou Sylla,4,2023,158,2433,S,2,5,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ESP-La Liga,2324,Alaves,Miguel De la Fuente,4,2023,158,6924,F S,3,65,0,1.304.582.729.935.640,0,1.304.582.729.935.640,0,0.0,2,0,0,0,1.304.582.729.935.640,0.0
ESP-La Liga,2324,Alaves,Nahuel Tenaglia,4,2023,158,10364,D S,25,1111,1,7.715.793.494.135.140,1,7.715.793.494.135.140,0,4.839.693.661.779.160,8,6,5,0,41.249.495.428.055.500,3.550.118.513.405.320
ESP-La Liga,2324,Alaves,Rafa Marín,4,2023,158,10200,D S,33,2434,0,10.936.051.346.361.600,0,10.936.051.346.361.600,0,23.054.206.371.307.300,13,5,6,0,6.729.401.000.775.390,6.569.665.716.029.700
ESP-La Liga,2324,Alaves,Rubén Duarte,4,2023,158,2110,D S,28,1882,2,778.625.306.673.348,2,778.625.306.673.348,1,16.660.432.200.878.800,15,17,7,0,4.890.459.792.688.480,4.110.139.857.977.620
ESP-La Liga,2324,Alaves,Samu Omorodion,4,2023,158,11831,F S,35,2014,9,13.301.204.808.056.300,9,13.301.204.808.056.300,1,18.839.029.110.968.100,67,18,6,0,15.395.711.928.606.000,30.258.879.344.910.300
ESP-La Liga,2324,Alaves,Tomás Mendes,4,2023,158,10221,S,1,4,0,0.0,0,0.0,0,0.0,0,0,0,0,32.640.427.350.997.900,32.640.427.350.997.900
ESP-La Liga,2324,Alaves,Unai Ropero,4,2023,158,10618,S,1,2,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ESP-La Liga,2324,Alaves,Victor Parada,4,2023,158,12207,S,2,2,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
